,0
0,3.0425198472028345
1,4.8898353703994335
2,4.721262042819798
3,4.461435542348774
4,2.850981079398145
5,2.489786513239867
6,2.350817250216816
7,3.480195855620343
8,5.163052800313015
9,2.722033271771024
10,13.047609137304587
11,5.605124192286911
12,5.81227482171453
13,2.8009167080046886
14,2.649677946546071
15,4.921012505976539
16,4.191524671627023
17,5.952705815866649
18,5.235880729907414
19,1.7376821223053496
20,2.4326441316893583
21,2.046418627316502
22,4.389586968374488
23,4.304251852013058
24,5.4247933104496955
25,7.9274810479678814
26,4.130972482869004
27,4.665015116105053
